Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,TotalSamples,Negative,Positive,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated,Cases_prev_day,Growth_Rate,Positivity_Rate,CFR,Recovery_Rate
366,2020-03-26,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
393,2020-03-27,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0.0
421,2020-03-28,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,0.0,0.0
448,2020-03-29,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.5,,0.0,0.0
475,2020-03-30,9:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,0.0,0.0
503,2020-03-31,8:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.1111111111111111,,0.0,0.0
531,2020-04-01,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
560,2020-04-02,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
589,2020-04-03,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
620,2020-04-04,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
650,2020-04-05,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
680,2020-04-06,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
710,2020-04-07,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
741,2020-04-08,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,0.0,0.0
772,2020-04-09,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.1,,0.0,0.0
803,2020-04-10,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.0
834,2020-04-11,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.0
865,2020-04-12,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.9090909090909091
896,2020-04-13,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.9090909090909091
928,2020-04-14,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.9090909090909091
960,2020-04-15,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.9090909090909091
993,2020-04-16,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,0.0,0.9090909090909091
1026,2020-04-17,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,1403.0,1210.0,12.0,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.008553100498930863,0.0,0.9090909090909091
1059,2020-04-18,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.09090909090909091,,0.0,0.9166666666666666
1092,2020-04-19,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.16666666666666666,,0.0,0.7857142857142857
1125,2020-04-20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.07142857142857142,,0.0,0.7333333333333333
1158,2020-04-21,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.06666666666666667,,0.0,0.6875
1191,2020-04-22,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0625,,0.0,0.6470588235294118
1223,2020-04-23,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.058823529411764705,,0.0,0.6111111111111112
1255,2020-04-24,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,22,2679.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,18.0,0.2222222222222222,0.010078387458006719,0.0,0.5
1287,2020-04-25,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.22727272727272727,,0.0,0.4074074074074074
1319,2020-04-26,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.2222222222222222,,0.0,0.3333333333333333
1351,2020-04-27,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,2848.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,0.011587078651685394,0.0,0.3333333333333333
1383,2020-04-28,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.3333333333333333
1415,2020-04-29,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.45454545454545453
1447,2020-04-30,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.45454545454545453
1479,2020-05-01,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,3754.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,0.008790623335109217,0.0,0.48484848484848486
1511,2020-05-02,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.48484848484848486
1543,2020-05-03,5:00 PM,Andaman and Nicobar Islands,-,-,17,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.5151515151515151
1575,2020-05-04,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.9696969696969697
1607,2020-05-05,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.9696969696969697
1639,2020-05-06,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.9696969696969697
1672,2020-05-07,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,0.9696969696969697
1705,2020-05-08,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,1.0
1738,2020-05-09,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,1.0
1771,2020-05-10,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,1.0
1804,2020-05-11,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,1.0
1837,2020-05-12,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.0,,0.0,1.0
