State_Mapped,Total_Confirmed,Total_Deaths,Total_Vaccinated,CFR,Population_Millions,Vaccination_Rate
Andaman and Nicobar Islands,7548,129,133533.0,0.017090620031796504,0.4,0.3338325
Andhra Pradesh,2635535,17395,20016303.0,0.0066001779524840305,93.3,0.21453700964630226
Arunachal Pradesh,50605,248,448592.0,0.004900701511708329,1.6,0.28037
Assam,576149,5420,5387805.0,0.009407288739544805,34.3,0.15707886297376095
Bihar,725279,9646,13127210.0,0.013299709491106182,124.8,0.10518597756410257
Chandigarh,61992,811,403380.0,0.013082333204284424,1.2,0.33615
Chhattisgarh,1003356,13544,5739810.0,0.013498698368276066,29.4,0.19523163265306123
Dadra and Nagar Haveli and Daman and Diu,10654,4,312751.0,0.00037544584193730055,0.6,0.5212516666666667
Delhi,1436852,25068,5318124.0,0.01744647326238193,19.8,0.2685921212121212
Goa,172085,3164,713714.0,0.018386262602783508,1.6,0.44607125
Gujarat,825085,10077,18826982.0,0.01221328711587291,70.4,0.2674287215909091
Haryana,770114,9652,6928225.0,0.01253320936900251,28.9,0.2397309688581315
Himachal Pradesh,208616,3537,2773268.0,0.016954596004141582,7.3,0.37989972602739724
Jammu and Kashmir,343182,4599,3714251.0,0.013401052502753641,26.4,0.14069132575757576
Jharkhand,347440,5130,5275892.0,0.014765139304628137,38.6,0.13668113989637307
Karnataka,2921049,36848,17493598.0,0.012614646313704425,67.6,0.25878103550295856
Kerala,3586693,18004,10258975.0,0.005019665747807242,35.7,0.28736624649859943
Lakshadweep,10263,51,45834.0,0.004969307220111079,0.07,0.6547714285714286
Madhya Pradesh,791980,10514,16512594.0,0.013275587767367862,85.0,0.1942658117647059
Maharashtra,6363442,134201,24046509.0,0.021089372701126215,123.1,0.19534125913891145
Manipur,105424,1664,515401.0,0.015783882227955685,3.3,0.15618212121212122
Meghalaya,69769,1185,565784.0,0.016984620676804885,3.4,0.1664070588235294
Mizoram,46320,171,465500.0,0.0036917098445595855,1.2,0.3879166666666667
Nagaland,28811,585,386200.0,0.020304744715560027,2.2,0.17554545454545453
Odisha,988997,6565,9126091.0,0.006638038335808906,46.4,0.19668299568965517
Puducherry,121766,1800,401988.0,0.014782451587471051,1.6,0.2512425
Punjab,599573,16322,4929959.0,0.027222706826358092,30.5,0.161638
Rajasthan,953851,8954,19090259.0,0.009387210371431177,81.0,0.2356822098765432
Sikkim,28018,356,349190.0,0.012706117495895496,0.7,0.49884285714285714
Tamil Nadu,2579130,34367,11658908.0,0.013325035961739036,77.8,0.1498574293059126
Tripura,80660,773,1834177.0,0.009583436647656832,4.2,0.4367088095238095
Uttar Pradesh,1708812,22775,24782239.0,0.013327972884085552,231.5,0.10705070842332613
Uttarakhand,342462,7368,3274993.0,0.021514795802161993,11.4,0.28728008771929825
West Bengal,1534999,18252,15798841.0,0.01189056149222247,99.6,0.1586229016064257
